Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,3.84025e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
5.3167e-04,0.4,0.32
5.3551e-04,0.48,0.56
5.3935e-04,0.4,0.24
5.4320e-04,0.4,0.56
5.4704e-04,0.32,0.24
5.5088e-04,0.32,0.48
5.5472e-04,0.32,4.76837e-09
5.5856e-04,0.32,0.48
5.6240e-04,0.08,4.76837e-09
5.6624e-04,0.16,0.56
5.7008e-04,0.48,0.24
5.7392e-04,0.4,0.56
5.7776e-04,0.24,-0.24
5.8160e-04,4.76837e-09,0.32
5.8544e-04,-0.16,-0.24
5.8928e-04,-0.08,0.16
5.9312e-04,0.08,-0.08
5.9696e-04,0.16,0.24
6.0080e-04,4.76837e-09,-0.4
6.0464e-04,-0.24,0.08
6.0848e-04,-0.24,-0.32
6.1232e-04,-0.08,0.08
6.1616e-04,-0.24,-0.4
6.2000e-04,-0.24,-0.16
6.2384e-04,-0.16,-0.56
6.2768e-04,-0.08,4.76837e-09
6.3152e-04,-0.48,-0.88
6.3536e-04,-0.72,-0.48
6.3920e-04,-0.72,-0.8
6.4304e-04,-0.56,-0.48
6.4688e-04,-0.64,-0.88
6.5072e-04,-0.72,-0.56
6.5456e-04,-0.64,-1.04
6.5840e-04,-0.72,-0.48
6.6224e-04,-0.96,-1.04
6.6608e-04,-0.72,-0.64
6.6992e-04,-1.04,-1.36
6.7376e-04,-1.2,-0.8
6.7760e-04,-0.88,-0.96
6.8144e-04,-0.56,-0.48
6.8528e-04,-0.72,-0.88
6.8912e-04,-0.72,-0.48
6.9296e-04,-0.56,-1.04
6.9680e-04,-0.8,-0.48
7.0065e-04,-0.96,-1.04
7.0449e-04,-0.8,-0.64
7.0833e-04,-0.72,-1.04
7.1217e-04,-0.88,-0.64
7.1601e-04,-0.88,-0.96
7.1985e-04,-0.8,-0.64
7.2369e-04,-0.8,-0.96
7.2753e-04,-0.88,-0.64
7.3137e-04,-0.8,-0.88
7.3521e-04,-0.4,-0.32
7.3905e-04,-0.64,-1.44
7.4289e-04,-1.04,-0.56
7.4673e-04,-1.44,-1.52
7.5057e-04,-1.28,-1.2
7.5441e-04,-1.28,-1.44
7.5825e-04,-1.28,-1.12
7.6209e-04,-1.2,-1.76
7.6593e-04,-1.44,-1.12
7.6977e-04,-1.68,-1.76
7.7361e-04,-1.52,-1.2
7.7745e-04,-1.36,-1.52
7.8129e-04,-1.36,-1.2
7.8513e-04,-1.36,-1.68
7.8897e-04,-1.44,-1.28
7.9281e-04,-1.6,-1.68
7.9665e-04,-1.52,-1.36
8.0049e-04,-1.52,-1.76
8.0433e-04,-1.6,-1.44
8.0817e-04,-1.6,-1.84
8.1201e-04,-1.6,-1.44
8.1585e-04,-1.76,-1.84
8.1969e-04,-1.68,-1.6
8.2353e-04,-1.68,-1.84
8.2737e-04,-1.76,-1.52
8.3121e-04,-1.52,-1.76
8.3505e-04,-1.52,-1.36
8.3889e-04,-1.68,-1.92
8.4273e-04,-1.76,-1.52
8.4657e-04,-1.76,-2
8.5041e-04,-1.92,-1.68
8.5425e-04,-1.92,-2
8.5810e-04,-1.84,-1.68
8.6194e-04,-1.92,-1.92
8.6578e-04,-1.6,-1.44
8.6962e-04,-1.6,-2
8.7346e-04,-1.92,-1.52
8.7730e-04,-1.84,-2.08
8.8114e-04,-2,-1.76
8.8498e-04,-1.92,-2
8.8882e-04,-1.76,-1.68
8.9266e-04,-1.76,-2.24
8.9650e-04,-2,-1.68
9.0034e-04,-2.16,-2.4
9.0418e-04,-2.32,-2.08
9.0802e-04,-2.24,-2.32
9.1186e-04,-2.16,-2
9.1570e-04,-2.08,-2.16
9.1954e-04,-1.84,-1.76
9.2338e-04,-2.08,-2.56
9.2722e-04,-2.32,-2
9.3106e-04,-2.48,-2.56
9.3490e-04,-2.32,-2.24
9.3874e-04,-2.4,-2.64
9.4258e-04,-2.48,-2.32
9.4642e-04,-2.56,-2.72
